NUMERO,DESCRIPCION,GRUPO,TASA_EMP,TASA_DIR,TASA_OTROS,MESES,DESDE,HASTA,TASA_DIR_PROV,HIPOTECARIO,REUNIFICACION,OTRO_1,OTRO_2,OTRO_3,OTRO_4,OTRO_5,OTRO_6,OTRO_7,OTRO_8
1,"PRESTAMOS ORDINARIOS                              ",NULL,12.00,50.00,3.00,60,1.00,10000000.00,NULL,NULL,NULL,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL
2,"ELECTRODOMESTICOS                                 ",1,6.00,100.00,2.00,24,1.00,400000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"PRESTAMOS EDUCATIVOS                              ",NULL,6.00,100.00,2.00,12,500.00,35000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"PRESTAMOS SALUD                                   ",NULL,6.00,75.00,2.00,48,1.00,150000.00,NULL," ",NULL,NULL,NULL,S,NULL,NULL,NULL," ",NULL
5,"EXPRESO                                           ",NULL,6.00,90.00,2.00,6,1000.00,10000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"ENSERES DE SALUD                                  ",0,6.00,100.00,3.00,12,500.00,20000.00,NULL,NULL,NULL,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL
7,"PRESTAMOS ORDINARIOS                              ",NULL,10.00,75.00,3.00,48,1.00,1000000.00,NULL,NULL,NULL,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL
8,"PRESTAMOS ORDINARIOS                              ",NULL,12.00,75.00,2.00,48,1.00,1000000.00,NULL,NULL,NULL,NULL,NULL," ",NULL,NULL,NULL,NULL,NULL
9,"PRESTAMOS ORDINARIOS                              ",NULL,12.00,75.00,1.50,48,1.00,1000000.00,NULL,NULL,NULL,NULL,NULL," ",NULL,NULL,NULL,NULL,NULL
10,"NUEVO MUNDO TOURS Y TRAVELS                       ",1,12.00,50.00,2.00,24,1.00,150000.00,NULL,NULL,NULL,NULL,NULL," ",NULL,NULL,NULL,NULL,NULL
11,"PRESTAMO ORDINARIO                                ",NULL,12.00,75.00,3.00,48,1.00,1000000.00,NULL,NULL,NULL,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL
12,"PRESTAMOS ORDINARIO (EMPLEADOS )                  ",NULL,12.00,75.00,4.00,48,1.00,1000000.00,NULL,NULL,NULL,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL
14,"PRESTAMOS (OPTIC GO)                              ",1,6.00,75.00,2.00,12,1.00,100000.00,NULL," ",NULL,NULL,NULL," ",NULL,NULL,NULL,NULL,NULL
16,"TIENDA DE ROPA Y MAS                              ",1,6.00,100.00,2.00,12,1.00,100000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,"3G COMMUNICELL GO                                 ",1,6.00,100.00,2.00,24,1.00,400000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
